Year,Country,Oil Imports (ML),LNG Exports (Tonnes),LNG Exports (Million Tonnes)
2016,Brazil,4.3,0.0,0.0
2016,China,2768.6,14971968.0,14.971968
2016,India,1999.8999999999999,1487972.0,1.487972
2016,Indonesia,2542.1,0.0,0.0
2016,Japan,4973.7,24787908.0,24.787908
2016,Kuwait,0.7,101390.0,0.10139
2016,Malaysia,10236.8,0.0,0.0
2016,Mexico,0.0,63020.0,0.06302
2016,New Zealand,1444.3,0.0,0.0
2016,Papua New Guinea,1366.4,0.0,0.0
2016,Singapore,8993.8,3588029.0,3.588029
2016,South Korea,9309.7,5562136.0,5.562136
2016,Taiwan,515.5,0.0,0.0
2016,Thailand,142.6,275430.0,0.27543
2016,United Arab Emirates,3420.6,139388.0,0.139388
2016,United States of America,1061.5,0.0,0.0
2017,Brazil,0.1,0.0,0.0
2017,China,2103.4,19644383.0,19.644383
2017,India,2680.3,0.0,0.0
2017,Indonesia,2532.1,0.0,0.0
2017,Japan,5043.3,27422515.0,27.422515
2017,Malaysia,9811.0,0.0,0.0
2017,Mexico,0.6,0.0,0.0
2017,New Caledonia,0.0,237.0,0.000237
2017,New Zealand,1199.8,0.0,0.0
2017,Papua New Guinea,847.9,0.0,0.0
2017,Singapore,9624.3,0.0,0.0
2017,South Korea,10240.0,6028522.0,6.028522
2017,Taiwan,169.7,1271799.0,1.271799
2017,Thailand,202.0,76880.0,0.07688
2017,Timor-Leste,1.5,184.0,0.000184
2017,United Arab Emirates,4090.2,0.0,0.0
2017,United States of America,1195.7,0.0,0.0
2018,China,3984.0,26560008.0,26.560008
2018,India,737.4,0.0,0.0
2018,Indonesia,2117.3,0.0,0.0
2018,Japan,5500.3,29764116.0,29.764116
2018,Malaysia,9544.9,1433751.0,1.433751
2018,New Caledonia,0.0,209.0,0.000209
2018,New Zealand,1151.6,1.0,1e-06
2018,Papua New Guinea,1069.4,0.0,0.0
2018,Singapore,10012.7,0.0,0.0
2018,South Korea,7340.0,6552878.0,6.552878
2018,Taiwan,1040.1,3233038.0,3.233038
2018,Thailand,274.4,0.0,0.0
2018,United Arab Emirates,4410.4,0.0,0.0
2018,United States of America,1772.5,0.0,0.0
2019,Brazil,0.2,0.0,0.0
2019,China,4886.1,28007217.0,28.007217
2019,India,1523.6,799175.0,0.799175
2019,Indonesia,1622.0,0.0,0.0
2019,Japan,4827.0,29628480.0,29.62848
2019,Malaysia,7311.8,1864599.0,1.864599
2019,Mexico,0.1,0.0,0.0
2019,New Caledonia,0.0,153.0,0.000153
2019,New Zealand,900.7,0.0,0.0
2019,Papua New Guinea,281.2,0.0,0.0
2019,Philippines,0.2,0.0,0.0
2019,Singapore,8885.7,0.0,0.0
2019,South Korea,6137.9,7762862.0,7.762862
2019,Taiwan,1730.9,0.0,0.0
2019,Thailand,180.0,638620.0,0.63862
2019,Timor-Leste,0.0,121.0,0.000121
2019,United Arab Emirates,2464.1,0.0,0.0
2019,United States of America,5430.4,0.0,0.0
2020,Brazil,2.4000000000000004,0.0,0.0
2020,China,5059.2,28586654.0,28.586654
2020,India,3332.4,566462.0,0.566462
2020,Indonesia,1559.5,0.0,0.0
2020,Japan,1138.3,28722098.0,28.722098
2020,Malaysia,10852.2,1811195.0,1.811195
2020,New Zealand,866.0,0.0,0.0
2020,Papua New Guinea,304.0,0.0,0.0
2020,Singapore,9855.0,6292572.0,6.292572
2020,South Korea,5525.9,6756767.0,6.756767
2020,Taiwan,831.6,4291721.0,4.291721
2020,Thailand,173.1,326556.0,0.326556
2020,Timor-Leste,0.0,112.0,0.000112
2020,United Arab Emirates,2175.7,0.0,0.0
2020,United States of America,2311.4,0.0,0.0
2021,China,1051.7,25838234.0,25.838234
2021,India,4864.1,295328.0,0.295328
2021,Indonesia,344.3,0.0,0.0
2021,Japan,2988.1,30238822.0,30.238822
2021,Kuwait,79.3,0.0,0.0
2021,Malaysia,8562.9,2041646.0,2.041646
2021,Mexico,0.1,0.0,0.0
2021,New Zealand,560.0,10.0,1e-05
2021,Papua New Guinea,10.3,0.0,0.0
2021,Philippines,0.3,0.0,0.0
2021,Singapore,14422.3,8626779.0,8.626779
2021,South Korea,8850.3,8617158.0,8.617158
2021,Taiwan,2825.9,6090727.0,6.090727
2021,Thailand,222.4,985158.0,0.985158
2021,Timor-Leste,0.0,314.0,0.000314
2021,United Arab Emirates,190.0,0.0,0.0
2021,United States of America,1707.1,4.0,4e-06
2022,China,2900.7000000000003,22616400.0,22.6164
2022,India,1292.5,0.0,0.0
2022,Indonesia,649.6999999999999,0.0,0.0
2022,Japan,2905.4,29255345.0,29.255345
2022,Kuwait,105.2,0.0,0.0
2022,Malaysia,10566.9,2519369.0,2.519369
2022,New Caledonia,0.2,0.0,0.0
2022,New Zealand,357.29999999999995,0.0,0.0
2022,Papua New Guinea,5.7,0.0,0.0
2022,Singapore,12003.5,0.0,0.0
2022,South Korea,15239.5,9043239.0,9.043239
2022,Taiwan,3989.3,7309151.0,7.309151
2022,Thailand,182.9,1873890.0,1.87389
2022,Timor-Leste,0.0,324.0,0.000324
2022,United Arab Emirates,258.7,0.0,0.0
2022,United States of America,2379.9,0.0,0.0
2023,Brazil,115.69999999999999,1300.0,0.0013
2023,China,3415.0,25783669.0,25.783669
2023,India,2763.9,0.0,0.0
2023,Indonesia,234.7,414486.0,0.414486
2023,Japan,2207.6,26042611.0,26.042611
2023,Malaysia,10487.6,2390178.0,2.390178
2023,New Zealand,279.70000000000005,0.0,0.0
2023,Papua New Guinea,0.2,0.0,0.0
2023,Singapore,12051.8,8108963.0,8.108963
2023,South Korea,15805.9,0.0,0.0
2023,Taiwan,4032.4,0.0,0.0
2023,Thailand,282.4,1818700.0,1.8187
2023,United Arab Emirates,807.2,0.0,0.0
2023,United States of America,2671.0,0.0,0.0
2016,Suppressed due to confidentiality,0.0,1174813.0,1.174813
2017,Suppressed due to confidentiality,0.0,7246355.0,7.246355
2018,Kazakhstan,0.0,1.0,1e-06
2018,Suppressed due to confidentiality,0.0,7256549.0,7.256549
2018,Timor-Leste,0.0,64.0,6.4e-05
2019,Suppressed due to confidentiality,0.0,10542987.0,10.542987
2020,Chile,0.0,72047.0,0.072047
2021,Chile,0.0,204554.0,0.204554
2021,Christmas Island,0.0,23.0,2.3e-05
2021,Suppressed due to confidentiality,0.0,300838.0,0.300838
2022,Suppressed due to confidentiality,0.0,9201729.0,9.201729
2023,Philippines,0.0,262354.0,0.262354
2023,Suppressed due to confidentiality,0.0,16088224.0,16.088224
2023,Timor-Leste,0.0,2287.0,0.002287
